	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000278382.1	0	0	0	0	0	0	0	0
ENSG00000279503.1	0	0	0	0	0	0	0	0
ENSG00000185074.7	0	0	0	0	0	0	0	0
ENSG00000225072.1	0	0	0	0	0	0	0	0
ENSG00000231107.2	0.685356837851668	1.93987196540768	1.1712409890171	0.990074666309442	0	0	32.9927322767392	1.12648201134673
ENSG00000229613.3	0	0	0	0	0	3.72164754679053	4.49900894682808	0
ENSG00000165023.7	48.6603354874684	12.6091677751499	89.0143151652997	33.662538654521	5.85648256971666	3.72164754679053	188.958375766779	3.3794460340402
ENSG00000236316.2	0	0	0	0	0	0	0	0
ENSG00000270432.1	0	0	0	0	0	0	1.49966964894269	0
ENSG00000165025.15	738.814671204098	620.759028930458	384.167044397609	887.10690101326	1242.41094514703	2513.972917857	2170.02198202008	927.094695338362
ENSG00000287212.1	0.685356837851668	0	0	0	0	0	0	0
ENSG00000228216.1	0	0	0	0	0	1.86082377339526	0	0
ENSG00000260454.2	0	0	0	0	0	0.930411886697632	1.49966964894269	1.12648201134673
ENSG00000237422.3	3.42678418925834	0	3.5137229670513	2.97022399892833	0	2.7912356600929	4.49900894682808	2.25296402269347
ENSG00000230537.2	3.42678418925834	4.8496799135192	7.02744593410261	4.95037333154721	0	5.58247132018579	5.99867859577077	3.3794460340402
ENSG00000229694.8	1.37071367570334	1.93987196540768	11.712409890171	6.9305226641661	1.67328073420476	1.86082377339526	1.49966964894269	5.63241005673367
ENSG00000235641.5	2.74142735140667	0	5.85620494508551	6.9305226641661	0	4.65205943348816	0	4.50592804538694
ENSG00000230147.2	0	0	0	0	0	0	0	0
ENSG00000289123.2	6.85356837851668	2.90980794811152	0	2.97022399892833	0.83664036710238	1.86082377339526	2.99933929788538	5.63241005673367
ENSG00000273381.1	33.5824850547317	22.3085276021883	14.0548918682052	33.662538654521	24.262570645969	4.65205943348816	17.9960357873123	12.3913021248141
ENSG00000148090.12	442.055160414326	682.834931823504	441.557852859447	512.858677148291	297.007330321345	314.4792177038	674.851342024212	348.082941506141
ENSG00000165030.4	631.213647661386	344.327273859863	338.488645825942	338.605535877829	547.999440452059	459.62347202863	422.906841001839	446.086876493307
ENSG00000233081.1	0	0	3.5137229670513	0.990074666309442	0	0	0	1.12648201134673
ENSG00000169071.15	654.515780148343	352.086761721494	414.619310112054	495.037333154721	291.987488118731	400.077111279982	295.43492084171	411.165934141558
ENSG00000228595.1	0	0	0	0	0	0	0	0
ENSG00000266855.1	0	0	0	0	0	0	0	0
ENSG00000283351.1	0	0	0	0	0	0	0	0
ENSG00000090054.16	1574.26465654528	1722.60630528202	1551.89431044766	1600.95073542237	1695.87002411652	1497.96313758319	1994.56063309378	1544.40683755637
ENSG00000227399.1	1.37071367570334	0	0	0	0	0	0	0
ENSG00000237306.1	0	0	0	0	0	0	0	0
ENSG00000275756.1	0	0	0	0	1.67328073420476	0	0	0
ENSG00000232179.1	0	0	0	0	0	0	0	0
ENSG00000228069.1	0	0	0	0	0.83664036710238	0.930411886697632	1.49966964894269	1.12648201134673
ENSG00000238288.1	0.685356837851668	0	0	0	0	0	0	0
ENSG00000240791.1	1.37071367570334	0	0	0	0	0	0	0
